AURKA	CEP152	CEP63	CCNA2	CCND1	CDK1	CCNE2	E2F1	E2F2	LMO4	MDM2	MYCN	NEK2	NDRG1	PIN1	PLK1	PLK4	SASS6	STIL	TUBG1	CA20	CA20_group_all_samples	Sample_type
MB.0000	-1.32975852254609	-0.170671173408287	-0.0158925855410796	-1.3191594785048	-0.834881134055451	-0.91254790936576	-0.671145705918518	0.0370515462460252	-1.42049334267396	0.273056323587657	0.00753349041946638	-0.0594407897514131	-0.725230921132058	1.21567721341658	-0.316749696123201	-0.47258911969313	-0.854071091552645	-0.2557566045324	-1.06730116163862	-0.491816658538513	-9.3841873213062	Lower	Tumour
MB.0002	-0.104132505078142	-0.260250923044022	-0.0197309410310753	-0.500154361827555	1.29927518498905	0.419826918810735	-0.206800588458828	-0.313756170863135	-0.107338573707694	-1.53817063308506	0.0939194796308129	-0.211314881335798	-0.164538059002678	-0.72289148026465	0.3620718717169	0.0445177220226096	0.0250891855264559	0.0359482486807456	-0.1861757696352	-0.189284590331957	-2.24389086628848	Lower	Tumour
MB.0005	0.0157003747951325	-0.127753409622652	0.1347087225553	0.155897956636535	-1.35826425957275	1.13162220479507	0.0688045753476185	0.388910076506425	-1.08609362960347	-0.623219125925186	0.0138774992418558	0.354594358174057	0.850556661763333	-1.71545209122243	-0.138576425396701	-0.32030397065095	0.349513516443896	0.265904625079225	0.0608421659377294	-0.527769824821368	-2.10649999953934	Lower	Tumour
MB.0006	1.95566716383671	-0.197941134483612	0.420596373237525	-0.236287196817975	-0.44167380572725	0.398313965275415	0.418956531385863	0.0883225370900753	-1.13229609831542	-0.684935649831045	0.0988528839653959	-0.0709071430897676	0.238348604163003	-0.164825533023309	-0.505376354124031	-0.37456481254821	-0.0261940420454749	0.20525181312022	0.272798222253059	0.0517227454530627	0.313829069774227	Lower	Tumour
MB.0008	0.803576268016888	0.208204537824968	0.140090818736008	0.160049252508255	0.195368690926349	0.66021352720389	0.955774957134613	-0.0356736610962551	0.557725511584065	-0.6020295403804	0.090238380268663	-0.202428477747707	0.649176879954172	0.44115218259585	-0.33564104069727	0.24796625290646	-0.284708719252905	-0.153696665623155	0.26909916490109	0.014070898593717	3.7785292183573	Higher	Tumour
MB.0010	1.0293101780236	-0.0595971190593971	0.0631538267163299	0.985577557264315	-0.868277613400151	1.05401432395862	0.678510396496458	0.260936400823325	1.04911492152516	-0.508181996889855	0.0922246605067327	1.32276821913693	1.25396965684082	0.0396940110142303	0.0419313082374	0.0553247540583497	0.754967240782415	0.0947632480202349	0.400001815130129	-0.334989720264595	7.40521606892105	Higher	Tumour
MB.0014	-0.671115754540872	-0.0548983368657519	0.540066487497652	-0.375698876829895	-1.22000633734335	0.595467984999665	0.129184646168848	0.340179509360215	-1.3358591934273	0.365022507152275	0.0260995474482124	-0.0512130243354578	0.473386804604782	-0.90772280748504	-0.632190992340131	-0.457752559058711	-0.300386545804285	0.350231701737155	-0.1768839614453	-1.00264985725913	-4.36673905776643	Lower	Tumour
MB.0020	-0.022239945809897	-0.0666128194141375	0.0282177604185048	-0.756405204663265	-1.05331547751855	-0.23788163085943	-0.351756500566667	-0.284986579151995	0.449681161366495	0.275275286341301	0.12753014008686	-0.120562499867468	-0.440127009128197	-0.15657027994261	0.0503979647975985	-0.254683922551941	-0.490372725947845	-0.103396271639665	0.15685742218407	-0.24501446639988	-3.49596559826672	Lower	Tumour
MB.0022	-0.106254301833927	-0.0576489619735625	0.39850298446743	0.146796003708755	-0.455533902496651	1.05398275604247	0.821196243986233	-0.018148588111365	-0.967031346213175	0.191454655290876	-0.11465705322825	-0.0672454576774326	1.46668188958501	-0.44919260611686	-0.5777663553721	-0.216809685057	0.127434065017935	0.308955880584455	0.13255542143967	-1.04910368031865	0.568167961723868	Lower	Tumour
MB.0025	0.858205830272638	0.252994658454153	0.563478409387905	1.2489773529925	-2.02643502815281	2.5805615878231	1.04447207173508	0.302552548527495	-0.130437085139034	1.12537100910547	-0.0149517838586437	0.110791513939312	2.26544630289671	-1.14401798898193	-0.716863321021281	-0.34624775077788	1.19963969497829	0.61983994014221	0.843416670774669	-1.04539101160207	7.5914036214959	Higher	Tumour
MB.0028	0.579105059751807	0.115832158026053	0.0665767785550848	0.638145493490845	0.12968924119175	0.417644249392556	0.724895345680748	0.301708328526175	0.342459881124196	0.229326333461675	0.0708147694706627	-0.325310193403562	1.06837450571054	1.58927196040347	-0.0986056374710014	0.23469731195525	1.04970001657846	0.176021082772739	0.665008226350659	0.74129699650033	8.71665190806843	Higher	Tumour
MB.0035	-0.112208039852646	-0.286189040212972	0.0334570916856878	0.00215877829024524	-1.31005029190875	-0.0402203719503103	0.295139535069133	-0.0558924201628752	-0.293617438514585	-1.15181607439371	-0.0843055000366668	0.218603979951517	-0.0889192328843773	1.97872862466667	-0.30358328494334	-0.0109027388505103	-0.132081239447484	0.11777055188587	0.52856944155636	-0.666886372745598	-1.36224404279834	Lower	Tumour
MB.0036	-0.358188699305977	-0.328058079177588	-0.00677044596212717	-0.455364753939334	0.484788616302749	-0.417924438230795	-0.217156836774617	-0.314845002828475	-0.332300182294564	-0.549172931437685	0.103310680841433	-0.186586147451353	0.0427095910168775	-0.171173660359411	0.7435051748734	0.16409869902406	-0.140338660647054	-0.16375140343833	-0.52942874279437	-0.223630012482142	-2.8562772350653	Lower	Tumour
