Signature	Coefficient	Pvalue	FDR
Signature.1	4.7813359202528	0.00265737302694419	0.0465666596011909
Signature.12	-26.8947981235188	0.00310444397341273	0.0465666596011909
Signature.29	-20.9026962693462	0.0180486987894676	0.180486987894676
Signature.25	-16.1579487004605	0.0445035685186388	0.333776763889791
Signature.16	-7.99150039737996	0.0676352830327797	0.405811698196678
Signature.4	-3.33616444203614	0.133336807184737	0.663812435087774
Signature.2	5.81916749896848	0.192827374562983	0.663812435087774
Signature.26	-12.7922582163149	0.216191129700323	0.663812435087774
Signature.13	4.59793056435845	0.223217407057077	0.663812435087774
Signature.5	-5.93831237240819	0.22416743885403	0.663812435087774
Signature.3	3.89444903398	0.243397892865517	0.663812435087774
Signature.28	-16.1754944700627	0.294107631575751	0.735269078939379
Signature.6	-2.3296706353179	0.364564797511731	0.841303378873224
Signature.23	8.90095843629932	0.419724374341739	0.876313212173823
Signature.17	-3.13864684180461	0.464076800075565	0.876313212173823
Signature.27	21.337016561251	0.485643667691449	0.876313212173823
Signature.8	-6.08039614115608	0.4965774868985	0.876313212173823
Signature.18	-3.26645463727082	0.544060456190715	0.885920514771152
Signature.10	4.8202203469536	0.620930274675147	0.885920514771152
Signature.30	3.80012135378077	0.665979210065886	0.885920514771152
Signature.11	-3.68827691737036	0.709834753486556	0.885920514771152
Signature.7	1.35620539660957	0.72142949082774	0.885920514771152
Signature.9	7.23123136102646	0.728286511696807	0.885920514771152
Signature.14	4.56031669246474	0.741986362919535	0.885920514771152
Signature.15	-1.17950251462061	0.744521028103557	0.885920514771152
Signature.20	1.60396588242818	0.801756531862559	0.885920514771152
Signature.21	2.38661578330088	0.81758056012972	0.885920514771152
Signature.22	-2.43940472177479	0.826859147119741	0.885920514771152
Signature.19	-0.886802028915676	0.896180656780062	0.92708343804834
Signature.24	-0.0110520625850674	0.998429477242687	0.998429477242687
